URL,Parcel ID,Tax Deed Date,Tax Deed Price,Bldg Value,Land Value,FLIP Date,FLIP Price,Instrument,Qualified,Vacant/Imp
http://bakerpa.com/propertydetails.php?parcel=291S20003604050110,29-1S-20-0036-0405-0110,"Thursday January 30, 2025","$6,000.00",N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://bakerpa.com/propertydetails.php?parcel=362S21005100330040,36-2S-21-0051-0033-0040,"Thursday December 11, 2025","$33,100.00",N/A,N/A,N/A,N/A,N/A,N/A,N/A
http://bakerpa.com/propertydetails.php?parcel=322S22004900050066,32-2S-22-0049-0005-0066,"Thursday December 11, 2025","$2,600.00",N/A,N/A,N/A,N/A,N/A,N/A,N/A
